CD_PROGRAMA_IES;NM_PROGRAMA_IES;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;AN_BASE_PRODUCAO;ID_ADD_PRODUCAO_INTELECTUAL;ID_TIPO_PRODUCAO;ID_SUBTIPO_PRODUCAO;DS_NATUREZA;NM_AUTOR_TRADUZIDO;NM_TITULO;DS_IDIOMA;DS_IDIOMA_TRADUCAO;NM_EDITORA_TRADUCAO;NM_CIDADE;NM_PAIS;NR_EDICAO;NR_PAGINAS;NR_VOLUME;DS_FASCICULO;NR_SERIE;DS_ISBN;DS_DIVULGACAO;DS_URL;DS_OBSERVACOES;IN_GLOSA
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113416;2;21;ARTIGO;TATIARA PINTO;VANGUARDA E MEDIACAO;PORTUGUES;ITALIANO;EDITORA COMUNITA;RIO DE JANEIRO;BRASIL;-;-;-;-;-;-;VARIOS;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113419;2;21;LIVRO;MARIO PERNIOLA;BECKETT E LA SCRITTURA ESISTENZIALE;ITALIANO;PORTUGUES;CULTURA E BARBARIE;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113420;2;21;LIVRO;AZAR MORTAZAVI;SCHNE NEUE STADT;ALEMAO;PORTUGUES;-;-;BRASIL;-;-;-;-;-;9783701716562;VARIOS;-;TRADUCAO PARA APRESENTACAO E MONTAGEM DA PECA TEATRAL.;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113423;2;21;ARTIGO;BEATRIZ GARCIA MORENO;BELLEZA FEMININA: PASIONES Y VIOLENCIAS - EL CASO DE LOS ROSTROS PROFANADOS;ESPANHOL;PORTUGUES;FAPOL;BUENOS AIRES;ARGENTINA;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.LACAN21.COM/SITIO/WP-CONTENT/UPLOADS/2017/10/LACAN-21-PORT.PDF;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113461;2;21;LIVRO;CESAR AIRA;CONTINUACION DE IDEAS DIVERSAS;ESPANHOL;PORTUGUES;PAPEIS SELVAGENS;RIO DE JANEIRO;BRASIL;1;92;-;-;-;9788592989101;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113532;2;21;LIVRO;CESAR AIRA;EN LA HABANA;ESPANHOL;PORTUGUES;CULTURA E BARBARIE EDITORA;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113623;2;21;OUTRA;DENNIS RADNZ;INSTRUMENTOS DE VENTO (POEM);PORTUGUES;INGLES;DUSIE PRESS;DUSIE;BRASIL;21;-;-;-;-;1661-668;MEIO DIGITAL;HTTP://DUSIE.ORG/;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113654;2;21;LIVRO;MARIANNE STRAUHS;LAKTOSE. MIMOSE;ALEMAO;PORTUGUES;-;-;BRASIL;-;-;-;-;-;9783701716562;VARIOS;-;TRADUCAO PARA APRESENTACAO E MONTAGEM DA PECA TEATRAL.;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113666;2;21;LIVRO;HARALD WEINRICH;LINGUISTIK DER LGE;ALEMAO;PORTUGUES;EDITORA DA UFSC;FLORIANOPOLIS SC;BRASIL;1;50;-;-;-;9788532807977;OUTRO;ED. DA UFSC;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113685;2;21;ARTIGO;ANTHONY CORDINGLEY;KEEPING THEIR DISTANCE: BECKETT AND BORGES WRITING AFTER JOYCE.;INGLES;PORTUGUES;LANDA;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113691;2;21;ARTIGO;BEN HUTCHINSON;"""SEEMANN"" ODER ""ACKERMANN""? EINIGE BERLEGUNGEN ZU SEBALDS LEKTRE VON WALTER BENJAMINS ESSAY ""DER ERZHLER""";ALEMAO;PORTUGUES;CADERNOS BENJAMINIANOS;BELO HORIZONTE;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.PERIODICOS.LETRAS.UFMG.BR/INDEX.PHP/CADERNOSBENJAMINIANOS/ARTICLE/VIEW/11548/9975;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113732;2;21;LIVRO;HEINRICH MANN;NIETZSCHES UNSTERBLICHES GEDANKEN;ALEMAO;PORTUGUES;EDITORA TRES ESTRELAS;SAO PAULO SP;BRASIL;1;95;-;-;-;978-85-6849-3;IMPRESSO;EDITORA TRES ESTRELAS;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113737;2;21;LIVRO;E. T. A. HOFFMANN;NACHRICHTEN VON EINEM BEKANNTEN MANN;ALEMAO;PORTUGUES;CARAMBAIA;SAO PAULO;BRASIL;-;-;-;-;-;-;IMPRESSO;CARAMBAIA.COM;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113782;2;21;LIVRO;E. T. A. HOFFMANN;DAS FRULEIN VON SCUDERY;ALEMAO;PORTUGUES;RAFAEL COPETTI;SAO PAULO;BRASIL;1;-;-;-;-;-;IMPRESSO;HTTP://RAFAELCOPETTIEDITOR.COM.BR;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113784;2;21;LIVRO;TOMMASO OTTONIERI;IL POETA AGISCE...  IL PLASMATORE... LATTANTE/ATTORE;ITALIANO;PORTUGUES;COMUNITA;RIO DE JANEIRO;BRASIL;-;6;-;-;-;-;IMPRESSO;-;"TITULO ORIGINAL DA TRADUCAO: IL POETA AGISCE...  IL PLASMATORE... LATTANTE/ATTORE PAGINAS: 347-353 AUTOR ORIGINAL: TOMMASO OTTONIERI LIVRO: PETERLE, PATRICIA, SANTI, ELENA. VOZES: CINCO DECADAS DE POESIA ITALIANA. COM ILUSTRACOES DE ALINE FOGACA. NIT";0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113785;2;21;LIVRO;UMBERTO FIORI;...IL POETA  UNO CHE CERCA;ITALIANO;PORTUGUES;COMUNITA;RIO DE JANEIRO;BRASIL;-;5;-;-;-;-;IMPRESSO;-;"TITULO ORIGINAL DA TRADUCAO: ...IL POETA  UNO CHE CERCA PAGINAS: 172-177 AUTOR ORIGINAL: UMBERTO FIORI LIVRO: PETERLE, PATRICIA, SANTI, ELENA. VOZES: CINCO DECADAS DE POESIA ITALIANA. COM ILUSTRACOES DE ALINE FOGACA. NITEROI, RJ: COMUNITA, 2017. 468P.";0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113790;2;21;OUTRA;TACITA DEAN;THE GREEN RAY;INGLES;PORTUGUES;ESPACO CORREDOR;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113791;2;21;LIVRO;E. T. A HOFFMANN;-;ALEMAO;PORTUGUES;ESTACAO LIBERDADE;SAO PAULO SP;BRASIL;1;400;-;-;-;978-85-7448-2;IMPRESSO;HTTP://WWW.ESTACAOLIBERDADE.COM.BR;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113827;2;21;LIVRO;E. T. A. HOFFMANN;DIE ELIXIERE DES TEUFELS;ALEMAO;PORTUGUES;EDITORA ESTACAO LIBERDADE;SAO PAULO SP;BRASIL;1;300;-;-;-;-;IMPRESSO;HTTP://WWW.ESTACAOLIBERDADE.COM.BR;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113828;2;21;LIVRO;CESAR AIRA;LOS FANTASMAS;ESPANHOL;PORTUGUES;ROCCO;RIO DE JANEIRO;BRASIL;-;160;-;-;-;9788532530493;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113839;2;21;ARTIGO;ANTONIO NEGRI;PACHUKANIS, 44 ANNI DOPO;ITALIANO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;6;-;-;-;9788575595473;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113844;2;21;LIVRO;VIVIAN LAMARQUE;A UN POETA BASTA PRENDERE UN PEZZETTO DI CARTA E UNA MATITA;ITALIANO;PORTUGUES;COMUNITA;RIO DE JANEIRO;BRASIL;-;4;-;-;-;-;IMPRESSO;-;"TITULO ORIGINAL DA TRADUCAO: A UN POETA BASTA PRENDERE UN PEZZETTO DI CARTA E UNA MATITA PAGINAS: 135-139 AUTOR ORIGINAL: VIVIAN LAMARQUE LIVRO: PETERLE, PATRICIA, SANTI, ELENA. VOZES: CINCO DECADAS DE POESIA ITALIANA. COM ILUSTRACOES DE ALINE FOGACA.";0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113892;2;21;LIVRO;IBRAHIM AMIR;POLITIK? EINE GESCHMACKSACHE;ALEMAO;PORTUGUES;-;-;BRASIL;-;-;-;-;-;9783701716562;VARIOS;-;TRADUCAO PARA APRESENTACAO E MONTAGEM DA PECA TEATRAL.;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113899;2;21;LIVRO;E. T. A. HOFFMANN;PRINZESSIN BRAMBILLA;ALEMAO;PORTUGUES;CULTURA E BARBARIE;DESTERRO [FLORIANOPOLIS] SC;BRASIL;1;180;-;-;-;9788563003683;IMPRESSO;CULTURA E BARBARIE;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113919;2;21;ARTIGO;TONI NEGRI;RIGEGGENDO PACHUKANI: NOTE DI DISCUSSIONI;ITALIANO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;1;40;-;-;-;9788575595473;IMPRESSO;-;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113962;2;21;ARTIGO;DIANA WOLODARSKY;SITUACION DEL PSICOANALISIS Y FORMACION DEL PSICOANALISTA EN 1956;ESPANHOL;PORTUGUES;FAPOL;BUENOS AIRES;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.LACAN21.COM/SITIO/WP-CONTENT/UPLOADS/2017/10/LACAN-21-PORT.PDF;-;0
41001010013P4;LITERATURA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23113972;2;21;ARTIGO;ANTONIO NEGRI;SOVIET: DENTRO E OLTRE ?SECOLO BREVE?;ITALIANO;PORTUGUES;BOITEMPO;SAO PAULO;BRASIL;-;16;-;-;-;9788575559585;IMPRESSO;-;-;0
42002010002P1;FILOSOFIA;UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;2017;23121476;2;21;OUTRA;ARTHUR SCHOPENHAUER;HANDSCHRIFTLICHE NACHLASS;ALEMAO;PORTUGUES;VOLUNTAS;SANTA MARIA;BRASIL;1;10;8;1;-;-;MEIO DIGITAL;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23121640;2;21;LIVRO;KANAVILLIL RAJAGOPALAN;THE READER'S RESPONSIBILITY;INGLES;PORTUGUES;CAMPINAS;CAMPINAS;BRASIL;1;17;1;1;1;978-85-7591-4;IMPRESSO;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23121702;2;21;LIVRO;OVDIO;AS METAMORFOSES DE OVIDIO;LATIM;PORTUGUES;UFSC;FLORIANOPOLIS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23121827;2;21;LIVRO;JORGE LAROSSA;ELOGIO DA ESCOLA;ESPANHOL;PORTUGUES;AUTENTICA;BELO HORIZONTE;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23122041;2;21;LIVRO;HARALD WEINRICH;LINGUISTIK DER LGE;ALEMAO;PORTUGUES;EDITORA DA UFSC;FLORIANOPOLIS;BRASIL;1;100;-;-;-;9788532807977;IMPRESSO;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23122079;2;21;LIVRO;HEINRICH MANN;UNSTERBLICHE GEDANKEN;ALEMAO;PORTUGUES;TRES ESTRELAS;SAO PAULO;BRASIL;1;95;1;1;1;9788568493342;IMPRESSO;-;-;0
41001010014P0;LINGISTICA;UFSC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;2017;23122414;2;21;LIVRO;LUCIANO PONZIO;VISIONI DEL TESTO;ITALIANO;PORTUGUES;PEDRO&JOAO;SAO CARLOS/SP;BRASIL;1;274;1;1;1;9788579933929;IMPRESSO;-;-;0
31001017022P1;FILOSOFIA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23124652;2;21;ARTIGO;GILLES DELEUZE;DE SACHER-MASOCH AU MASOCHISME;FRANCES;PORTUGUES;TRAGICA (ISSN: 19825870);RIO DE JANEIRO;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.TRAGICA.ORG;-;0
31001017022P1;FILOSOFIA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23124818;2;21;ARTIGO;PAOLO STELLINO;PAR DELA LA LOI MORALE: MORT DE DIEU ET GRATUITE DE FEUERBACH A SARTRE;FRANCES;PORTUGUES;TRAGICA (ISSN: 19825870);RIO DE JANEIRO;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTP://WWW.TRAGICA.ORG;-;0
31001017022P1;FILOSOFIA;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;2017;23124821;2;21;OUTRA;FERNANDO SANTORO;FALANGE POESIA;PORTUGUES;FRANCES;RUE DESCARTES;PARIS;FRANCA;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://WWW.CAIRN.INFO/REVUE-RUE-DESCARTES-2017-2-PAGE-131.HTM;-;0
33003017093P4;ARTES VISUAIS;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;23126036;2;21;ARTIGO;JEAN GALARD;L'ACCOMPAGNEMENT ECRIT DES OEUVRES VISUELLES;FRANCES;PORTUGUES;PUBLIONLINE;CAMPINAS (SP);BRASIL;1;15;-;-;-;25262963;MEIO DIGITAL;HTTP://WWW.PUBLIONLINE.IAR.UNICAMP.BR/INDEX.PHP/MOD/ARTICLE/VIEW/741/788;DOI: HTTPS://DOI.ORG/10.24978/MOD.V1I1.741;0
33003017086P8;DIVULGACAO CIENTIFICA E CULTURAL;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;2017;23128159;2;21;ARTIGO;DONNA HARAWAY;ANTHROPOCENE, CAPITALOCENE, PLANTATIONOCENE, CHTHULUCENE: MAKING KIN;INGLES;PORTUGUES;FORUMDOC BH;BELO HORIZONTE;BRASIL;-;7;1;-;-;2201-1919;OUTRO;-;-;0
31003010041P2;GEOGRAFIA;UFF;UNIVERSIDADE FEDERAL FLUMINENSE;2017;23129542;2;21;ARTIGO;HENRI LEFEBVRE;PROBLMES THEORIQUES DE L'AUTOGESTION;FRANCES;PORTUGUES;PROGRAMA DE POS-GRADUACAO EM GEOGRAFIA;NITEROI;BRASIL;-;7;-;-;-;15177793;MEIO DIGITAL;-;-;0
51005018007P4;LETRAS;UFGD;UNIVERSIDADE FEDERAL DA GRANDE DOURADOS;2017;23138643;2;21;ARTIGO;CAS WOUTERS;ON SEXUALISATION AND EROTICISATION: EMANCIPATION OF LOVE AND LUST;INGLES;PORTUGUES;EDITORA DA UFRGS;PORTO ALEGRE-RS;BRASIL;4;21;42;-;-;2175-6236;MEIO DIGITAL;HTTP://WWW.SCIELO.BR/PDF/EDREAL/V42N4/PT_2175-6236-EDREAL-42-04-01217.PDF;-;0
32001010040P2;CIENCIAS DO ESPORTE;UFMG;UNIVERSIDADE FEDERAL DE MINAS GERAIS;2017;23139129;2;21;LIVRO;"ROTH, K., KRGER, C, MEMMERT, D";BALLSCHULE RCKSCHLAGSPIELE;ALEMAO;PORTUGUES;PHORTE;SAO PAULO;BRASIL;1;181;1;1;1;9788576556107;IMPRESSO;-;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23139926;2;21;ARTIGO;RODRIGO ARAUJO DE LIMA;THE PHOENICIAN-PUNIC HOUSE;INGLES;PORTUGUES;REVISTA HERODOTO;SAO PAULO;BRASIL;1;407;2;-;-;2448-2609;IMPRESSO;HTTP://HERODOTO.UNIFESP.BR/INDEX.PHP/HERODOTO/ARTICLE/VIEW/185/PDF_85;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140111;2;21;ARTIGO;CLAIRE JONCHERAY;LES COLONIES GRECQUES DU SUD DE LA GAULE;FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://PERIODICOS.UFPEL.EDU.BR/OJS2/INDEX.PHP/LEPAARQ/INDEX;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140115;2;21;ARTIGO;"ARIANNA ESPOSITO, AIRTON POLLINI";LES DIASPORAS GRECQUES : MOBILITES, CONTACTS ET COLONISATIONS DANS LANTIQUITE (EPOQUES ARCHAQUE ET CLASSIQUE);FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;-;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140118;2;21;ARTIGO;"ARIANNA ESPOSITO, AIRTON POLLINI";LES DIASPORAS GRECQUES : MOBILITES, CONTACTS ET COLONISATIONS DANS LANTIQUITE (EPOQUES ARCHAQUE ET CLASSIQUE);FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://PERIODICOS.UFPEL.EDU.BR/OJS2/INDEX.PHP/LEPAARQ/INDEX;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140268;2;21;ARTIGO;"ARIANNA ESPOSITO, AIRTON POLLINI";LES TERMES DE LA QUESTION (DIASPORAS, COLONIES, COLONISATION, APOIKIAI);FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://PERIODICOS.UFPEL.EDU.BR/OJS2/INDEX.PHP/LEPAARQ/INDEX;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140270;2;21;ARTIGO;"ARIANNA ESPOSITO, AIRTON POLLINI";LES TERMES DE LA QUESTION (DIASPORAS, COLONIES, COLONISATION, APOIKIAI);FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;-;-;0
33002010151P8;ARQUEOLOGIA;USP;UNIVERSIDADE DE SAO PAULO;2017;23140409;2;21;ARTIGO;MADALINA DANA;GRECS ET POPULATIONS LOCALES AUTOUR DE LA MER NOIRE, DU VIIIE SICLE AU IIIE SICLE AV. J.-C.;FRANCES;PORTUGUES;REVISTA CADERNOS DO LEPAARQ;PELOTAS;BRASIL;-;-;-;-;-;-;MEIO DIGITAL;HTTPS://PERIODICOS.UFPEL.EDU.BR/OJS2/INDEX.PHP/LEPAARQ/INDEX;-;0
